"AACountryName,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Argentina,""ARG"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""20.19353"",""17.65592"",""17.33307"",""16.08829"",""13.06567"",""10.37139"",""10.90728"",""11.70836"",""13.07729"",""14.23457"",""14.98778"",""17.68235"",""16.12808"",""15.94486"",""16.31633"",""16.77133"",""16.26738"",""17.24864"",""16.08373"",""16.91251"","""","""","""","
"Australia,""AUS"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""26.57506"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""19.06647"",""22.28509"",""21.85707"",""21.46599"",""17.82954"","""","""","""","""","
"Austria,""AUT"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""51.60388"","""","""","""","""","""","""","""","""",""36.85693"",""35.62528"",""36.21659"",""34.27502"",""31.49534"",""37.06478"",""36.28273"",""35.81112"",""35.98491"",""36.23652"","""","""","""","""","
"Bahamas, The,""BHS"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Barbados,""BRB"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""53.20958"",""42.48029"",""58.6937"","""","""","""","""","""",""38.70306"","""",""29.9187"",""41.67439"","""","""","""","""","""","""","""","""","""","""","
"Belgium,""BEL"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""33.67031"","""","""",""35.75914"",""36.52921"",""34.75718"",""33.49417"","""",""32.88551"",""33.64922"",""32.32961"",""32.207"","""","""","""","""","
"Botswana,""BWA"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""262.54747"","""",""205.53861"","""",""246.067"","""","""","""","""","""","""","""","""","""","""","""","
"Canada,""CAN"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""42.85008"","""","""","""","""","""","""","""","""",""40.28518"",""36.35893"",""40.19827"",""44.68562"",""43.07659"","""",""29.65255"",""36.99843"",""36.93396"",""31.44008"","""","""","""","""","
"Costa Rica,""CRI"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""35.82923"","""","""","""","""","""","""",""30.13085"",""30.3901"",""32.4646"",""32.95088"",""35.07591"",""36.69091"",""38.63966"",""37.51487"","""","""","
"Denmark,""DNK"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""61.29751"",""64.40718"",""68.46375"",""73.58267"",""71.96577"",""65.09406"",""60.92935"",""54.10622"",""52.11558"",""52.29962"",""50.38598"",""54.98638"",""53.95163"",""50.9369"",""41.8996"",""42.55885"",""43.12666"","""","""","""","""","""","""","
"Finland,""FIN"",""Government expenditure per student, tertiary (% of GDP per capita)"",""SE.XPD.TERT.PC.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""39.0179"",""37.27151"",""35.74196"",""35.85259"",""35.35128"",""34.62936"",""32.91852"",""32.03604"",""30.50613"",""31.10585"",""37.05012"",""36.80425"",""36.27448"",""36.01216"",""35.47931"",""35.79621"",""34.49292"",""33.93205"","""","""","""","""","
