"AACountry Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Argentina,""ARG"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""1.4580899477005"","""",""1.93620002269745"",""1.78051996231079"",""1.92351996898651"",""1.84360003471375"",""1.16563999652863"",""1.71984004974365"",""1.93554997444153"",""2.4002799987793"",""2.60715007781982"","""",""1.59786999225616"",""1.61749994754791"",""2.56972002983093"",""1.36186003684998"",""1.261549949646"",""1.28229999542236"","""",""1.04612004756927"",""1.06737995147705"","""","""","""","""","""",""3.73198008537292"","""",""4.03986978530884"",""4.52167987823486"",""4.58030986785889"",""4.833740234375"",""4.01734018325806"",""3.53504991531372"",""3.48652005195618"",""3.86000990867615"",""4.12821006774902"",""4.46260023117065"",""4.84440994262695"",""5.53105020523071"",""5.01971006393433"",""5.29062986373901"",""5.34582996368408"",""5.43661022186279"",""5.36144018173218"",""5.77611017227173"",""5.54548978805542"",""5.46223020553589"","""","""","""","
"Australia,""AUS"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""6.00891017913818"",""5.89693021774292"",""5.65407991409302"","""",""5.47975015640259"",""5.37201023101807"","""",""5.40542984008789"",""5.28063011169434"",""5.06994009017944"",""4.91831016540527"",""4.7491397857666"",""4.67634010314941"",""4.79478979110718"",""4.69240999221802"",""5.51652002334595"",""5.2547402381897"",""5.14390993118286"",""5.24097013473511"","""","""","""",""4.89146995544434"","""","""","""","""",""4.91029977798462"",""4.75019979476929"",""4.66089010238647"",""4.63776016235352"",""5.08582019805908"",""5.55005979537964"",""5.07451009750366"",""4.86899995803833"",""5.22974014282227"",""5.16477012634277"",""5.31127023696899"",""5.276780128479"",""5.12424993515015"","""","""","""","
"Austria,""AUT"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""4.14716005325317"",""4.28235006332397"",""4.45015001296997"",""4.51547002792358"",""4.65594005584717"",""5.12796020507813"",""5.23765993118286"",""4.95401000976563"",""5.1597900390625"",""5.03815984725952"",""5.00896978378296"",""5.36780977249146"",""5.36298990249634"",""5.30378007888794"",""5.29446983337402"",""5.29721021652222"",""5.49995994567871"",""5.3761100769043"",""5.19073009490967"",""5.01816987991333"",""4.95725011825562"",""5.10321998596191"",""5.2969799041748"",""5.2519998550415"","""",""5.42834997177124"",""5.25990009307861"","""",""6.10374021530151"",""6.11233997344971"",""5.58880996704102"",""5.57547998428345"",""5.52213001251221"",""5.36183023452759"",""5.30243015289307"",""5.24937009811401"",""5.22652006149292"",""5.14690017700195"",""5.26395988464355"",""5.73024988174438"",""5.70047998428345"",""5.59226989746094"",""5.48040008544922"",""5.54711008071899"",""5.44761991500854"",""5.45658016204834"",""5.48435020446777"",""5.35803985595703"","""","""","""","
"Bahamas, The,""BHS"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.23284006118774"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Barbados,""BRB"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.94479990005493"",""6.51715993881226"","""","""","""","""","""","""","""","""","""","""","""","""","""",""6.63870000839233"","""","""","""","""","""","""","""",""4.34123992919922"",""4.71585988998413"",""6.05536985397339"",""5.88062000274658"",""6.24569988250732"",""6.02428007125854"",""5.66965007781982"","""",""5.22038984298706"",""4.92259979248047"",""5.11617994308472"",""6.0543999671936"","""",""5.26274013519287"",""5.14899015426636"",""6.14349985122681"","""",""4.9513897895813"",""4.36638021469116"","""","""","""","
"Belgium,""BEL"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.76281976699829"",""5.73104000091553"",""5.98883008956909"",""5.43633985519409"",""5.38035011291504"",""5.31063985824585"",""5.4353199005127"",""5.31673002243042"","""","""","""",""4.85229015350342"",""4.57712984085083"",""4.30072021484375"","""","""","""","""",""5.37231016159058"",""5.41103982925415"",""2.98866009712219"",""3.04947996139526"","""","""","""","""","""","""","""","""",""5.79585981369019"","""","""",""6.33294010162354"",""6.45809984207153"",""6.44259023666382"",""6.43199014663696"","""",""6.63052988052368"",""6.59046983718872"",""6.4515700340271"",""6.45953989028931"",""6.41228008270264"","""","""","""","
"Botswana,""BWA"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""",""4.38723993301392"",""3.90638995170593"",""3.2627899646759"",""3.67424011230469"",""5.64942979812622"",""6.06396007537842"",""5.40031003952026"",""5.95213985443115"",""6.14172983169556"",""5.46931982040405"","""","""",""5.55226993560791"",""5.55166006088257"",""5.65072011947632"",""5.18592977523804"",""6.11773014068604"",""6.15111017227173"","""",""5.73963022232056"","""",""6.84061002731323"","""","""","""","""","""","""","""","""","""","""","""","""",""10.6785898208618"","""",""8.85149002075195"","""",""9.63292026519775"","""","""","""","""","""","""","""","""","""","""","""","
"Canada,""CAN"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""",""7.71018981933594"",""7.61540985107422"",""7.03749990463257"",""6.68963003158569"",""6.4429497718811"",""6.72099018096924"",""6.73353004455566"",""7.09767007827759"",""6.71474981307983"",""6.48467016220093"",""6.43061017990112"",""6.51913976669312"",""6.88043022155762"",""6.64404010772705"",""6.2128701210022"",""6.04418992996216"",""6.32446002960205"",""6.17614984512329"",""6.09832000732422"",""5.9919900894165"",""6.88430023193359"",""6.77093982696533"",""7.70425987243652"",""6.68001985549927"",""6.32445001602173"","""","""",""5.51197004318237"",""5.54994010925293"",""5.44199991226196"",""4.96956014633179"",""5.01072978973389"","""","""",""4.78214979171753"","""",""4.78036022186279"",""4.63825988769531"",""4.85264015197754"",""5.36992979049683"",""5.27443981170654"","""","""","""","""","""","""","""","""","""","
"Costa Rica,""CRI"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7.34716987609863"","""",""4.88506984710693"",""4.95777988433838"","""","""",""4.42026996612549"","""",""4.01322984695435"",""4.07784986495972"","""","""","""","""","""",""3.37168002128601"",""3.91086006164551"","""","""",""5.4168701171875"",""4.68696022033691"",""4.85109996795654"",""5.17354011535645"",""5.15636014938354"",""4.91217994689941"","""",""4.63918018341064"",""4.65889978408813"",""4.9171199798584"",""6.04635000228882"",""6.63444995880127"",""6.45534992218018"",""6.6898398399353"",""6.84933996200562"",""6.86952018737793"",""7.0825400352478"",""7.09768009185791"",""7.31572008132935"",""6.97856998443604"",""7.04875993728638"","""","
"Denmark,""DNK"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""5.95553016662598"",""6.39355993270874"",""6.48130989074707"",""6.26610994338989"",""6.58151006698608"",""6.71312999725342"","""",""5.67212009429932"",""5.75346994400024"",""5.58649015426636"",""5.91093015670776"","""","""","""","""","""",""5.83825016021729"",""6.07808017730713"",""6.33533000946045"",""5.83814001083374"","""",""5.59675979614258"","""",""7.77281999588013"",""7.47105979919434"",""7.47103977203369"",""7.8849401473999"","""",""8.10674953460693"",""7.93115997314453"",""8.08434009552002"",""8.21545028686523"",""8.2130298614502"",""8.12193012237549"",""8.2076301574707"",""8.08557033538818"",""7.72990989685059"",""7.61560010910034"",""7.47604990005493"",""8.44888019561768"",""8.55955028533936"",""8.48486042022705"",""7.23782014846802"",""8.49442958831787"",""7.634850025177"","""","""",""7.81608009338379"","""","""","""","
