"AACountry Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Argentina,""ARG"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""26.389"",""25.783"",""25.233"",""24.691"",""24.156"",""23.631"",""23.112"",""22.602"",""22.099"",""21.606"",""21.12"",""20.679"",""20.257"",""19.842"",""19.433"",""19.031"",""18.634"",""18.245"",""17.861"",""17.484"",""17.113"",""16.687"",""16.241"",""15.806"",""15.379"",""14.962"",""14.555"",""14.157"",""13.767"",""13.387"",""13.016"",""12.672"",""12.458"",""12.248"",""12.04"",""11.836"",""11.634"",""11.436"",""11.241"",""11.048"",""10.858"",""10.671"",""10.49"",""10.314"",""10.14"",""9.96899999999999"",""9.8"",""9.634"",""9.47"",""9.309"",""9.151"",""9.01000000000001"",""8.879"",""8.751"",""8.623"",""8.497"",""8.373"",""8.251"",""8.13"",""8.009"","""","
"Australia,""AUS"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""18.471"",""18.059"",""17.772"",""17.489"",""17.208"",""16.932"",""16.66"",""16.493"",""16.328"",""16.164"",""16.001"",""15.84"",""15.68"",""15.522"",""15.364"",""15.208"",""15.053"",""14.9"",""14.748"",""14.597"",""14.448"",""14.3"",""14.33"",""14.359"",""14.389"",""14.418"",""14.448"",""14.478"",""14.507"",""14.537"",""14.567"",""14.597"",""14.715"",""14.843"",""14.972"",""15.102"",""15.233"",""15.364"",""15.497"",""15.63"",""15.765"",""15.9"",""15.778"",""15.657"",""15.537"",""15.418"",""15.3"",""15.178"",""15.057"",""14.937"",""14.818"",""14.7"",""14.598"",""14.498"",""14.398"",""14.299"",""14.2"",""14.096"",""13.988"",""13.876"","""","
"Austria,""AUT"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""35.28"",""35.186"",""35.137"",""35.087"",""35.038"",""34.989"",""34.939"",""34.89"",""34.841"",""34.792"",""34.742"",""34.699"",""34.689"",""34.679"",""34.669"",""34.659"",""34.649"",""34.639"",""34.629"",""34.619"",""34.609"",""34.636"",""34.9"",""35.164"",""35.43"",""35.695"",""35.963"",""36.231"",""36.5"",""36.769"",""37.04"",""37.311"",""37.583"",""37.856"",""38.13"",""38.404"",""38.68"",""38.955"",""39.232"",""39.509"",""39.787"",""40.066"",""40.345"",""40.625"",""40.906"",""41.187"",""41.468"",""41.751"",""42.034"",""42.317"",""42.601"",""42.885"",""42.853"",""42.664"",""42.474"",""42.285"",""42.095"",""41.906"",""41.703"",""41.485"","""","
"Bahamas, The,""BHS"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""40.288"",""39.546"",""38.807"",""38.074"",""37.358"",""36.657"",""35.96"",""35.27"",""34.584"",""33.907"",""33.236"",""32.571"",""31.912"",""31.262"",""30.619"",""29.983"",""29.353"",""28.734"",""28.121"",""27.516"",""26.898"",""26.157"",""25.429"",""24.715"",""24.013"",""23.326"",""22.653"",""21.993"",""21.346"",""20.716"",""20.162"",""19.933"",""19.707"",""19.482"",""19.26"",""19.039"",""18.82"",""18.604"",""18.389"",""18.176"",""17.993"",""17.951"",""17.908"",""17.866"",""17.824"",""17.782"",""17.74"",""17.698"",""17.657"",""17.615"",""17.573"",""17.524"",""17.468"",""17.404"",""17.332"",""17.254"",""17.168"",""17.075"",""16.975"",""16.868"","""","
"Barbados,""BRB"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""63.223"",""63.151"",""63.078"",""63.005"",""62.932"",""62.859"",""62.786"",""62.713"",""62.64"",""62.567"",""62.45"",""62.191"",""61.93"",""61.669"",""61.408"",""61.145"",""60.882"",""60.619"",""60.354"",""60.09"",""59.898"",""60.172"",""60.446"",""60.72"",""60.993"",""61.264"",""61.536"",""61.806"",""62.077"",""62.346"",""62.63"",""62.994"",""63.357"",""63.717"",""64.076"",""64.434"",""64.79"",""65.144"",""65.497"",""65.848"",""66.173"",""66.371"",""66.569"",""66.766"",""66.963"",""67.159"",""67.354"",""67.549"",""67.744"",""67.937"",""68.13"",""68.3"",""68.447"",""68.571"",""68.672"",""68.751"",""68.807"",""68.841"",""68.853"",""68.842"","""","
"Belgium,""BEL"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""7.54000000000001"",""7.446"",""7.321"",""7.16500000000001"",""7.012"",""6.863"",""6.71599999999999"",""6.572"",""6.431"",""6.29300000000001"",""6.157"",""6.024"",""5.89400000000001"",""5.767"",""5.642"",""5.52"",""5.40000000000001"",""5.194"",""4.995"",""4.804"",""4.619"",""4.465"",""4.363"",""4.26300000000001"",""4.16500000000001"",""4.06999999999999"",""3.977"",""3.88500000000001"",""3.79600000000001"",""3.708"",""3.623"",""3.539"",""3.458"",""3.378"",""3.3"",""3.223"",""3.149"",""3.07599999999999"",""3.004"",""2.935"",""2.871"",""2.81399999999999"",""2.759"",""2.70399999999999"",""2.65000000000001"",""2.59699999999999"",""2.54600000000001"",""2.495"",""2.44499999999999"",""2.39700000000001"",""2.349"",""2.30200000000001"",""2.256"",""2.211"",""2.167"",""2.124"",""2.081"",""2.039"",""1.999"",""1.959"","""","
"Botswana,""BWA"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""96.94"",""96.903"",""96.866"",""96.829"",""96.682"",""96.161"",""95.563"",""94.876"",""94.088"",""93.19"",""92.166"",""91.002"",""90.305"",""89.619"",""88.89"",""88.116"",""87.295"",""86.428"",""85.511"",""84.543"",""83.521"",""82.448"",""80.511"",""78.277"",""75.861"",""73.276"",""70.517"",""67.599"",""64.533"",""61.352"",""58.067"",""54.708"",""53.557"",""52.714"",""51.867"",""51.019"",""50.17"",""49.323"",""48.475"",""47.628"",""46.781"",""45.938"",""45.43"",""44.971"",""44.512"",""44.056"",""43.6"",""42.072"",""40.556"",""39.063"",""37.588"",""36.135"",""35.232"",""34.428"",""33.632"",""32.845"",""32.067"",""31.3"",""30.554"",""29.828"","""","
"Canada,""CAN"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""30.939"",""30.332"",""29.506"",""28.693"",""27.893"",""27.108"",""26.358"",""25.845"",""25.338"",""24.839"",""24.346"",""23.91"",""24.029"",""24.149"",""24.269"",""24.389"",""24.497"",""24.457"",""24.417"",""24.377"",""24.337"",""24.288"",""24.126"",""23.965"",""23.805"",""23.646"",""23.498"",""23.478"",""23.458"",""23.438"",""23.418"",""23.38"",""23.113"",""22.848"",""22.586"",""22.325"",""22.049"",""21.66"",""21.276"",""20.897"",""20.522"",""20.19"",""20.112"",""20.033"",""19.955"",""19.878"",""19.787"",""19.604"",""19.422"",""19.242"",""19.063"",""18.904"",""18.863"",""18.822"",""18.782"",""18.741"",""18.7"",""18.65"",""18.589"",""18.518"","""","
"Costa Rica,""CRI"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""65.746"",""65.671"",""65.596"",""65.394"",""64.803"",""64.209"",""63.61"",""63.007"",""62.399"",""61.788"",""61.173"",""60.555"",""59.932"",""59.345"",""58.998"",""58.651"",""58.302"",""57.954"",""57.604"",""57.253"",""56.901"",""56.55"",""56.197"",""55.844"",""55.458"",""54.555"",""53.647"",""52.736"",""51.823"",""50.911"",""49.997"",""49.083"",""48.168"",""47.257"",""46.347"",""45.439"",""44.533"",""43.633"",""42.736"",""41.843"",""40.948"",""39.59"",""38.247"",""36.92"",""35.612"",""34.328"",""33.065"",""31.826"",""30.61"",""29.425"",""28.264"",""27.132"",""26.054"",""25.03"",""24.059"",""23.138"",""22.265"",""21.44"",""20.66"",""19.924"","""","
"Denmark,""DNK"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""26.313"",""25.583"",""24.907"",""24.243"",""23.591"",""22.952"",""22.381"",""21.837"",""21.302"",""20.778"",""20.263"",""19.761"",""19.269"",""18.789"",""18.317"",""17.854"",""17.4"",""17.114"",""16.831"",""16.552"",""16.277"",""16.085"",""15.975"",""15.866"",""15.757"",""15.649"",""15.542"",""15.435"",""15.329"",""15.223"",""15.157"",""15.129"",""15.102"",""15.075"",""15.048"",""15.021"",""14.994"",""14.967"",""14.94"",""14.914"",""14.9"",""14.85"",""14.75"",""14.64"",""14.434"",""14.144"",""13.902"",""13.707"",""13.513"",""13.346"",""13.205"",""13.043"",""12.858"",""12.708"",""12.59"",""12.474"",""12.358"",""12.243"",""12.126"",""12.006"","""","
